Date,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY,Daily_Return,Log_Return,Cumulative_Return
2005-09-01,84.23501586914062,84.68889308296265,83.30663685963668,84.25564569765068,74578700,,,
2005-09-02,84.08372497558594,84.503215651663,83.92555945639967,84.48258582278221,47653400,-0.0017960570434237821,-0.0017976718877334066,0.9982039429565762
2005-09-06,85.06710052490234,85.13587360065615,84.3450304493288,84.351908806234,57251300,0.011695194873941883,0.011627334662178482,1.0098781325933905
2005-09-07,85.2115478515625,85.36283502676062,84.90208464869409,85.01899052134067,41749700,0.001698039850527966,0.0016965998107937473,1.0115929459067108
2005-09-08,84.92958068847656,85.27342514470521,84.79891811618167,85.03961343286174,39068700,-0.0033090252459340164,-0.0033145121775803705,1.0082455593100967
2005-09-09,85.6860122680664,85.78228826779228,85.13586444772551,85.15649426957413,43093900,0.008906573816306107,0.008867144236428176,1.017225572809055
2005-09-12,85.51408386230469,85.73414402374333,85.45906751028299,85.58285167900775,33017600,-0.00200649325614366,-0.0020085089605199574,1.0151845165572366
2005-09-13,85.03959655761719,85.56223624978418,84.94331530206118,85.36280587514848,58427500,-0.005548645126708274,-0.005564096039004777,1.0095516179367316
2005-09-14,84.73017883300781,85.21843749582459,84.59951621667241,85.09465323999416,57694600,-0.0036385135529156676,-0.0036451490437918476,1.0058783506925009
2005-09-15,84.68890380859375,85.03274831837558,84.51698155370283,84.99148340947919,73156900,-0.00048713486720486365,-0.0004872535559407999,1.005388352275712
2005-09-16,85.29108428955078,85.45683067034494,84.85599806409768,85.15296318371938,75424100,0.00711050035926819,0.007085339949916852,1.0125371665157725
2005-09-19,85.0079574584961,85.32564559178437,84.69718223247678,85.27039502347473,53355300,-0.0033195360735890356,-0.0033250579569079545,1.0091760128656737
2005-09-20,84.2896957397461,85.36705515212441,84.16538463301147,85.08390002662453,84480300,-0.008449346863800167,-0.008485244948281425,1.0006491346863449
2005-09-21,83.50243377685547,84.16542490702727,83.41265027020654,84.11017432893334,94469100,-0.00933995497292317,-0.00938384585874723,0.9913031168246799
2005-09-22,83.79936218261719,84.02036441166474,83.17781185486191,83.5300223021944,84597200,0.003555925166866425,0.0035496178128670694,0.9948281165257898
2005-09-23,83.86843872070312,84.1792139242557,83.49550531504975,83.73031230991457,59368100,0.0008243086377603959,0.0008239690819816147,0.9956481619353289
2005-09-26,83.96512603759766,84.42093002868677,83.61981790808194,84.26899360866243,70415400,0.0011528450793809597,0.0011521810637815126,0.9967959900196107
2005-09-27,83.94437408447266,84.24824153134563,83.57834319083776,83.92365117922476,66150800,-0.0002471496692055819,-0.00024718021571822014,0.9965496322204119
2005-09-28,84.02728271484375,84.33806320664215,83.70269221560247,84.2068444255061,58620500,0.0009876615470103545,0.0009871741302534245,0.9975338859718433
2005-09-29,84.71097564697266,84.84909676311646,83.61980091489501,83.94439133371405,66607700,0.008136558865637689,0.008103635538375724,1.0056503791555216
2005-09-30,84.97342681884766,84.97342681884766,84.07562355681208,84.6833692488918,47824200,0.0030981955982747333,0.0030934060803179007,1.0087660807336245
2005-10-03,84.66956329345703,85.18061791615902,84.56596978735922,84.9181856004979,50994800,-0.0035759829486272654,-0.003582392059460971,1.0051587504297674
2005-10-04,83.71651458740234,84.96652849180163,83.67507929257772,84.80078204351851,60776300,-0.011256095685193368,-0.011319924961192282,0.9938445873561206
2005-10-05,82.61843872070312,83.77867449308974,82.5770034224345,83.73723919482111,106052100,-0.013116597986802203,-0.013203380252223772,0.980808727442411
2005-10-06,82.32144927978516,83.05350603778302,81.61011543382084,82.72200794203145,140941800,-0.0035947113685113052,-0.0036011878688473387,0.9772830031595386
